입원외래구분,코드,3단질병명,순위,환자수,내원일수,청구건수,요양급여비용총액,보험자부담금
입원,A41,기타 패혈증,63,1378,8531,1671,3022362,2814604
입원,T78,달리 분류되지 않은 유해작용,64,1371,2742,1506,640720,588745
입원,N30,방광염,65,1327,6285,1466,1048693,924749
입원,B00,헤르페스바이러스[단순헤르페스] 감염,66,1256,5658,1316,918537,797056
입원,L03,연조직염,67,1215,5913,1351,1157786,1012570
입원,K00,치아의 발육 및 맹출 장애,68,1175,2425,1203,966738,854610
입원,P70,태아 및 신생아에 특이한 일과성 탄수화물대사장애,69,1165,7353,1189,3021795,3008204
입원,S82,발목을 포함한 아래다리의 골절,70,1152,7153,1385,1728291,1484831
입원,G80,뇌성마비,71,1145,78892,28691,14413654,13314964
입원,Q38,"혀, 입 및 인두의 기타 선천기형",72,1141,2277,1158,780082,711234
입원,E23,뇌하수체의 기능저하 및 기타 장애,73,1133,2979,1242,1379272,1262381
입원,D69,자반 및 기타 출혈성 병태,74,1127,7172,1691,2112009,1884639
입원,S62,손목 및 손부위의 골절,75,1119,3953,1248,1216795,1058978
입원,Q53,미하강고환,76,1112,2444,1194,2981106,2729532
입원,J16,달리 분류되지 않은 기타 감염성 병원체에 의한 폐렴,77,1076,6327,1172,1092629,923272
입원,P36,신생아의 세균패혈증,78,1075,9739,1201,6233842,6170083
입원,T23,손목 및 손의 화상 및 부식,79,1065,5801,1209,1623072,1408408
입원,J13,폐렴연쇄알균에 의한 폐렴,80,1029,6174,1144,1020851,886305
입원,E30,달리 분류되지 않은 사춘기의 장애,81,1018,1799,1067,636163,586639
입원,P28,출생전후기에 기원한 기타 호흡기병태,82,1016,9211,1067,5715890,5685945
입원,A02,기타 살모넬라감염,83,987,6117,1126,1357848,1196339
입원,P03,진통 및 분만의 기타 합병증에 의해 영향을 받은 태아 및 신생아,84,984,4709,989,849529,844280
입원,K92,소화계통의 기타 질환,85,928,2306,997,909597,861421
입원,N43,음낭수종 및 정액류,86,913,1747,958,1551553,1395953
입원,T18,소화관속의 이물,87,900,1876,987,699629,641190
입원,Z47,기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,88,852,2249,876,1089435,968661
입원,U07,U07의 응급사용,89,848,10595,963,2077334,1927705
입원,S61,손목 및 손의 열린상처,90,847,1890,878,514016,453797
입원,P01,임신의 산모합병증에 의해 영향을 받은 태아 및 신생아,91,846,5102,867,2097445,2083100
입원,R51,두통,91,846,1794,912,645631,582883
입원,D23,피부의 기타 양성 신생물,93,802,1584,833,878975,797129
입원,D22,멜라닌세포모반,94,793,1904,892,1291168,1153985
입원,S92,발목을 제외한 발의 골절,95,787,3628,856,844229,724235
입원,J30,혈관운동성 및 알레르기성 비염,96,786,3587,837,524960,457139
입원,J09,확인된 동물매개 또는 범유행 인플루엔자바이러스에 의한 인플루엔자,97,783,2809,833,581506,531735
입원,Q18,얼굴 및 목의 기타 선천기형,98,781,3054,901,1190598,1059055
입원,Q25,대동맥혈관의 선천기형,99,768,14017,1255,17414411,17041989
입원,H00,맥립종 및 콩다래끼,100,729,1325,779,463199,421447
입원,P05,태아성장지연 및 태아영양실조,101,723,7156,753,4544726,4515741
입원,Q55,남성생식기관의 기타 선천기형,102,719,1721,737,1748844,1604833
입원,K29,위염 및 십이지장염,103,700,1657,744,306148,275662
입원,S93,"발목 및 발 부위의 관절 및 인대의 탈구, 염좌 및 긴장",104,698,2401,771,346867,295287
입원,M67,윤활막 및 힘줄의 기타 장애,105,693,3471,752,597569,506547
입원,P00,현재 임신과는 관계 없을 것 같은 산모병태에 의해 영향받은 태아 및 신생아,106,686,3821,701,1537249,1530812
입원,E22,뇌하수체의 기능항진,107,670,981,707,422478,393001
입원,D18,모든 부위의 혈관종 및 림프관종,108,658,3164,829,1285844,1172177
입원,T14,상세불명의 신체부위의 손상,109,647,1005,671,453113,417634
입원,G47,수면장애,110,644,1302,749,698971,656333
입원,S60,손목 및 손의 표재성 손상,111,641,755,646,128387,119231
입원,P39,출생전후기에 특이한 기타 감염,112,632,3718,664,1061068,1052665
입원,P92,신생아의 수유문제,113,627,4786,659,2621853,2600666
입원,K52,기타 비감염성 위장염 및 결장염,114,624,1994,661,520064,483174
입원,G03,기타 및 상세불명의 원인에 의한 수막염,115,622,3769,820,1211912,1105270
입원,T17,기도의 이물,116,618,963,659,322175,295310
입원,K01,매몰치 및 매복치,117,616,1053,624,442652,391885
입원,R06,호흡의 이상,118,607,1670,653,797117,759305
입원,T24,발목 및 발을 제외한 엉덩이 및 다리의 화상 및 부식,119,605,3587,675,885005,759636
입원,N13,폐색성 및 역류성 요로병증,120,591,3347,736,1971696,1780374
입원,E16,췌장내분비의 기타 장애,121,573,1502,629,542392,505145
입원,C91,림프성 백혈병,122,569,24611,5195,14423320,13161625
입원,B01,수두,123,566,3010,592,659525,607710
입원,T31,포함된 신체표면의 정도에 따라 분류된 화상,124,549,6803,763,2176194,1855433
입원,B27,감염성 단핵구증,125,523,2953,597,646418,564811
입원,J32,만성 부비동염,126,511,2195,546,569144,484138
입원,Q69,다지증,127,509,2494,545,1109420,1006215
입원,K11,침샘의 질환,128,480,1337,521,386921,348734
입원,K12,구내염 및 관련 병변,129,475,2112,521,348643,308495
입원,S50,아래팔의 표재성 손상,130,468,498,470,102730,96629
입원,M65,윤활막염 및 힘줄윤활막염,131,467,1539,482,409346,351852
입원,T21,몸통의 화상 및 부식,132,466,2869,545,810797,689798
입원,H71,중이의 진주종,133,457,1766,624,1300207,1200398
입원,R22,"피부 및 피하조직의 국소적 부기, 종괴 및 덩이",134,453,1110,482,479018,426841
입원,G41,뇌전증지속상태,135,449,5840,1791,3379748,3123221
입원,Q62,신우의 선천성 폐색성 결손 및 요관의 선천기형,136,440,2815,555,1975102,1824439
입원,J14,인플루엔자균에 의한 폐렴,137,436,2760,460,450528,392334
입원,P23,선천폐렴,138,433,4083,465,3201854,3184243
입원,T20,머리 및 목의 화상 및 부식,139,431,3415,521,879255,756891
입원,S91,발목 및 발의 열린상처,140,417,1172,438,323563,283625
입원,L01,농가진,141,416,2550,467,487141,427477
입원,P08,장기임신 및 고체중출산에 관련된 장애,142,414,2204,421,631698,628278
입원,Q54,요도하열,143,407,3477,480,2027384,1815756
입원,P83,태아 및 신생아에 특이한 피부의 기타 병태,144,401,1353,413,1126045,1066251
입원,Q20,심장 방실 및 연결의 선천기형,145,387,8669,833,13960801,13433260
입원,S90,발목 및 발의 표재성 손상,146,379,597,384,115171,103293
입원,J40,급성인지 만성인지 명시되지 않은 기관지염,147,370,1188,392,193399,165829
입원,R31,상세불명의 혈뇨,148,364,1179,407,366676,327959
입원,Q43,장의 기타 선천기형,149,362,7528,667,4604935,4291329
입원,H90,전음성 및 감각신경성 청력소실,149,362,1107,428,4257034,3862084
입원,Q70,합지증,151,355,2266,415,1161440,1056055
입원,M79,달리 분류되지 않은 기타 연조직장애,152,343,663,356,145937,129382
입원,K58,과민대장증후군,153,342,1149,348,235026,194126
입원,T30,상세불명 신체부위의 화상 및 부식,154,338,459,349,115586,104218
입원,S09,머리의 기타 및 상세불명의 손상,155,331,652,339,227841,207483
입원,R05,기침,156,329,481,358,84387,77144
입원,Q35,구개열,157,327,2004,355,1236202,1143317
입원,K02,치아우식,158,319,929,332,284011,257094
입원,L00,포도알균성 화상피부증후군,159,317,1984,356,485024,441871
입원,A87,바이러스수막염,159,317,1564,345,322807,285955
입원,L51,다형홍반,161,312,1459,376,359971,319295
입원,T81,달리 분류되지 않은 처치의 합병증,162,311,1597,350,457544,401560
입원,D70,무과립구증,162,311,1950,404,741487,680852
입원,Q40,상부소화관의 기타 선천기형,162,311,1662,368,1459009,1375480
입원,L72,피부 및 피하조직의 모낭낭,165,308,808,327,324402,287339
입원,D21,결합조직 및 기타 연조직의 기타 양성 신생물,166,304,749,316,320102,285723
입원,T25,발목 및 발의 화상 및 부식,167,299,2169,354,614647,521724
입원,K61,항문 및 직장부의 농양,167,299,646,354,328242,299932
입원,D16,골 및 관절연골의 양성 신생물,169,291,1197,321,550728,490143
입원,Q36,구순열,170,289,1451,325,1034804,940211
입원,G93,뇌의 기타 장애,171,284,9376,2897,3434474,3168139
입원,Q87,다발계통에 영향을 주는 기타 명시된 선천기형증후군,172,280,7773,3521,3471092,3271214
입원,R42,어지럼증 및 어지럼,173,274,581,294,202412,185519
입원,R23,기타 피부변화,174,273,1093,286,447650,437470
입원,Q22,폐동맥판 및 삼첨판의 선천기형,175,270,4964,753,7691368,7373960
입원,A38,성홍열,176,269,1118,280,214651,193842
입원,P29,출생전후기에 기원한 심혈관장애,176,269,3571,289,4975288,4945946
입원,P20,자궁내저산소증,176,269,2229,285,1494714,1488920
입원,S72,대퇴골의 골절,179,265,2114,346,703223,627550
입원,T88,달리 분류되지 않은 외과적 및 내과적 치료의 기타 합병증,180,264,495,289,140101,129097
입원,S30,"복부, 아래등 및 골반의 표재성 손상",181,263,414,268,116886,107337
입원,R07,목구멍 및 가슴의 통증,182,261,422,283,101547,94475
입원,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",182,261,888,287,199148,174199
입원,Q67,"머리, 얼굴, 척추 및 흉부의 선천성 근골격변형",182,261,1438,324,1077140,954522
입원,A05,달리 분류되지 않은 기타 세균성 음식매개중독,185,260,1673,272,284160,247352
입원,B09,피부 및 점막병변이 특징인 상세불명의 바이러스감염,186,258,918,294,198422,179699
입원,P90,신생아의 경련,187,257,2404,427,1769886,1750957
입원,N48,음경의 기타 장애,188,256,637,273,173963,151823
입원,Q82,피부의 기타 선천기형,188,256,960,305,447281,402793
입원,L20,아토피성 피부염,190,254,1426,279,235457,204341
입원,Q75,두개골 및 안면골의 기타 선천기형,191,251,2480,519,1960562,1749919
입원,Z29,기타 예방적 조치의 필요,191,251,800,275,117689,110005
입원,T22,손목 및 손을 제외한 어깨와 팔의 화상 및 부식,193,250,1244,284,338095,289965
입원,G91,수두증,194,248,6080,1399,3904971,3729854
입원,Z50,재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,195,247,13030,1499,2056840,1906841
입원,S66,손목 및 손 부위의 근육 및 힘줄의 손상,196,244,978,252,339168,297112
입원,Q74,사지의 기타 선천기형,197,242,1347,400,615637,560250
입원,B26,볼거리,198,237,1050,243,241018,221955
입원,H35,기타 망막장애,199,233,1085,285,1106137,1048108
입원,L02,"피부의 농양, 종기 및 큰종기",200,230,1560,268,458718,407012
입원,Q44,"담낭, 담관 및 간의 선천기형",201,229,4437,467,3269356,2986211
입원,C71,뇌의 악성 신생물,202,228,14285,2770,8350586,7559371
입원,Q42,"대장의 선천 결여, 폐쇄 및 협착",203,227,3717,341,3212210,3075628
입원,J96,달리 분류되지 않은 호흡부전,204,224,3431,300,2606493,2461068
입원,I67,기타 뇌혈관질환,205,223,3397,1183,2196305,1997978
입원,N12,급성 또는 만성으로 명시되지 않은 세뇨관-간질신장염,206,221,1221,241,201707,179346
입원,S63,"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",207,217,420,219,81040,73121
입원,R21,발진 및 기타 비특이성 피부발진,207,217,565,231,110303,102078
입원,N45,고환염 및 부고환염,209,216,817,234,191408,167928
입원,E10,1형 당뇨병,210,214,1711,286,496990,437396
입원,Q68,기타 선천성 근골격변형,211,210,1231,243,388861,349356
입원,D17,양성 지방종성 신생물,212,209,817,222,545288,494304
입원,S13,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",212,209,576,217,97768,84638
입원,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,214,206,4513,1160,2331305,2174325
입원,R04,기도출혈,215,204,294,217,81457,75350
입원,P13,골격의 출산손상,216,203,773,203,195800,194091
입원,K75,기타 염증성 간질환,217,202,1193,252,386974,335705
입원,H93,달리 분류되지 않은 귀의 기타 장애,217,202,502,227,1574053,1438257
입원,M25,달리 분류되지 않은 기타 관절장애,219,199,471,212,92760,82248
입원,H49,마비성 사시,220,196,345,202,304277,278576
입원,I46,심장정지,221,193,1960,244,2213070,2081822
입원,S33,"요추 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장",221,193,376,223,53596,46588
입원,S67,손목 및 손의 으깸손상,221,193,960,205,259295,223916
입원,R68,기타 전신 증상 및 징후,224,192,273,200,133500,127712
입원,R00,심장박동의 이상,224,192,817,214,439844,431597
입원,S80,아래다리의 표재성 손상,226,191,391,195,57723,51798
입원,N04,신증후군,226,191,2198,304,637161,561509
입원,P21,출산질식,228,187,2855,227,2476465,2450655
입원,I47,발작성 빈맥,229,186,1040,329,604504,579315
입원,H05,안와의 장애,230,184,827,206,203230,179652
입원,T50,"이뇨제 및 기타 상세불명의 약물, 약제 및 생물학적 물질에 의한 중독",231,182,276,186,57233,52867
입원,R55,실신 및 허탈,232,180,325,196,127675,118446
입원,Q66,발의 선천변형,233,179,820,208,462588,422925
입원,Q65,고관절의 선천변형,234,176,1306,278,794900,715843
입원,J46,천식지속상태,234,176,1432,186,264668,234437
입원,B17,기타 급성 바이러스간염,234,176,1007,208,281108,249270
입원,S68,손목 및 손의 외상성 절단,237,174,1737,212,441817,380066
입원,P54,기타 신생아출혈,238,172,1252,181,799272,796619
입원,K21,위-식도역류병,238,172,947,185,510641,467600
입원,Q85,달리 분류되지 않은 모반증,240,171,1468,611,634182,574212
입원,H91,기타 청력소실,240,171,656,246,2817658,2583093
입원,B99,기타 및 상세불명의 감염성 질환,242,170,584,191,192187,181141
입원,S81,아래다리의 열린상처,243,169,557,173,124053,108354
입원,R45,정서상태에 관련된 증상 및 징후,244,168,224,171,46910,44670
입원,Q16,청력장애를 유발하는 귀의 선천기형,245,167,735,223,572111,514677
입원,R19,소화계통 및 복부의 기타 증상 및 징후,246,166,454,185,204661,190720
입원,P25,출생전후기에 기원한 간질성 폐기종 및 관련 병태,247,165,1648,170,1378917,1370723
입원,P91,신생아 대뇌상태의 기타 장애,248,164,6682,2378,4370405,4265719
입원,Q37,구순열을 동반한 구개열,248,164,1314,241,952015,883825
입원,Q05,이분척추,250,162,1591,263,1195237,1097446
입원,Q33,폐의 선천기형,251,157,1128,187,1491270,1362159
입원,E87,"수분, 전해질 및 산-염기균형의 기타 장애",252,156,752,182,293729,275036
입원,J69,고체 및 액체에 의한 폐렴,253,155,1889,218,986642,908905
입원,E03,기타 갑상선기능저하증,254,154,437,164,171950,154881
입원,G51,안면신경장애,255,153,535,167,197585,179542
입원,B30,바이러스결막염,256,151,515,165,98966,84829
입원,F84,전반발달장애,257,150,9750,7265,943698,861957
입원,G04,"뇌염, 척수염 및 뇌척수염",257,150,4179,549,2018471,1833620
입원,K60,항문 및 직장부의 열창 및 누공,259,148,317,151,162733,149253
입원,R59,림프절비대,259,148,622,173,194895,172061
입원,P78,기타 출생전후기 소화계통장애,261,146,1040,160,723002,716714
입원,P81,신생아 체온조절의 기타 장애,261,146,783,161,385316,381496
입원,G43,편두통,263,145,465,168,157451,142416
입원,Q17,귀의 기타 선천기형,263,145,718,154,542524,498393
입원,Q27,말초혈관계통의 기타 선천기형,263,145,605,192,270602,249680
입원,Q89,달리 분류되지 않은 기타 선천기형,266,144,1058,165,1037373,999995
입원,Q04,뇌의 기타 선천기형,267,142,2621,800,1496333,1418539
입원,Q79,달리 분류되지 않은 근골격계통의 선천기형,267,142,3392,249,3599237,3489716
입원,P38,경도의 출혈을 동반하거나 동반하지 않은 신생아배꼽염,269,141,811,147,244458,241772
입원,G71,근육의 원발성 장애,270,140,3847,1330,1321791,1228899
입원,C74,부신의 악성 신생물,270,140,7274,1680,4498429,4069498
입원,Q93,달리 분류되지 않은 보통염색체의 단일염색체증 및 결손,272,136,3971,2363,1294610,1224753
입원,S31,"복부, 아래등 및 골반의 열린상처",273,135,311,143,93946,85688
입원,L30,기타 피부염,274,134,616,139,98434,86498
입원,F80,말하기와 언어의 특정 발달장애,275,133,2948,2366,405862,366098
입원,K37,상세불명의 충수염,276,129,454,137,276695,233434
입원,K42,배꼽탈장,277,128,386,137,345667,324515
입원,C69,눈 및 부속기의 악성 신생물,278,127,2800,1310,1850076,1691131
입원,S05,눈 및 안와의 손상,278,127,380,145,112526,100299
입원,M43,기타 변형성 등병증,280,126,639,137,162622,140023
입원,Z13,기타 질환 및 장애에 대한 특수선별검사,281,125,358,155,197853,173084
입원,T16,귀의 이물,282,124,199,128,77923,70550
입원,Z94,이식된 기관 및 조직의 상태,283,123,3623,289,3634697,3395032
입원,C96,"림프, 조혈 및 관련 조직의 기타 및 상세불명의 악성 신생물",284,122,1836,457,1001791,908426
입원,M24,기타 특정 관절장애,285,120,458,135,203865,181400
입원,Q06,척수의 기타 선천기형,285,120,884,330,632120,587147
입원,J38,달리 분류되지 않은 성대 및 후두의 질환,287,119,1331,238,902991,826636
입원,T75,기타 외인의 영향,287,119,461,138,220389,202428
입원,Q39,식도의 선천기형,287,119,2858,235,2861776,2776059
입원,Q23,대동맥판 및 승모판의 선천기형,287,119,2822,573,4670554,4492324
입원,K04,치수 및 근단주위조직의 질환,291,118,220,121,108340,99899
입원,T58,일산화탄소의 독성효과,291,118,238,123,102721,95831
입원,M91,고관절 및 골반의 연소성 골연골증,293,117,935,171,321024,282037
입원,G05,"달리 분류된 질환에서의 뇌염, 척수염 및 뇌척수염",294,116,248,118,51469,46485
입원,K50,크론병[국소성 장염],295,115,1488,268,640131,556955
입원,P27,출생전후기에 기원한 만성 호흡기질환,296,113,5191,257,4675788,4609695
입원,R26,보행과 이동의 이상,296,113,1067,203,929909,869524
입원,Z52,기관 및 조직의 기증자,298,112,742,134,471450,411049
입원,S96,발목 및 발 부위의 근육 및 힘줄의 손상,299,110,643,114,165277,143149
입원,D10,입 및 인두의 양성 신생물,299,110,219,114,84900,75809
입원,C92,골수성 백혈병,301,109,9094,965,5948858,5407024
입원,H60,외이염,302,106,395,110,91232,81922
입원,P96,출생전후기에 기원한 기타 병태,302,106,685,109,356731,354625
입원,K83,담도의 기타 질환,304,104,1667,175,850698,755047
입원,S20,흉부의 표재성 손상,305,103,129,105,26497,24768
입원,J34,코 및 비동의 기타 장애,306,102,149,104,56421,51276
입원,R01,심잡음 및 기타 심음,307,101,467,103,98223,96793
입원,S86,아래다리 부위의 근육 및 힘줄의 손상,308,100,715,108,193065,165977
입원,R25,이상불수의운동,309,99,523,115,196471,182060
입원,Z01,호소증상 또는 보고된 진단명이 없는 사람의 기타 특수 검사 및 조사,309,99,462,108,96038,91267
입원,M00,화농성 관절염,311,98,1280,130,420515,366673
입원,S40,어깨 및 위팔의 표재성 손상,311,98,107,98,22770,21491
입원,D36,기타 및 상세불명 부위의 양성 신생물,313,97,294,106,165246,147556
입원,G44,기타 두통증후군,313,97,239,99,78035,68217
입원,D43,뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,315,95,1455,291,1009389,910860
입원,M53,달리 분류되지 않은 기타 등병증,315,95,406,101,63178,62082
입원,P12,두피의 출산손상,315,95,575,101,323508,317676
입원,H04,눈물계통의 장애,318,94,250,109,116905,106846
입원,M21,사지의 기타 후천변형,318,94,567,112,296390,260682
입원,H10,결막염,320,93,163,95,25284,23241
입원,L98,달리 분류되지 않은 피부 및 피하조직의 기타 장애,321,91,407,94,99873,87881
입원,G82,하반신마비 및 사지마비,321,91,6818,1484,1317709,1204668
입원,M54,등통증,321,91,258,106,39565,35120
입원,T65,기타 및 상세불명 물질의 독성효과,321,91,134,98,29275,26852
입원,P61,기타 출생전후기 혈액학적 장애,321,91,769,99,490072,488706
입원,Q26,대정맥혈관의 선천기형,326,90,1646,170,3165693,3102286
입원,D61,기타 무형성빈혈,326,90,2727,481,2141754,1945519
입원,I49,기타 심장부정맥,328,89,482,103,360002,350144
입원,N20,신장 및 요관의 결석,329,88,422,132,234655,212592
입원,J44,기타 만성 폐쇄성 폐질환,330,87,1182,173,433284,393655
입원,G00,달리 분류되지 않은 세균성 수막염,331,86,1420,113,727118,682704
입원,G81,편마비,332,85,3424,1408,620724,568023
입원,K09,달리 분류되지 않은 구강영역의 낭,332,85,265,88,105210,94356
입원,D76,림프세망 및 세망조직구 조직의 참여를 동반한 기타 명시된 질환,332,85,3310,450,2422470,2204448
입원,D50,철결핍빈혈,335,83,276,89,60498,56037
입원,D31,눈 및 부속기의 양성 신생물,336,82,132,87,112930,104304
입원,K85,급성 췌장염,337,81,1003,127,365020,332163
입원,R63,음식 및 수액 섭취에 관계된 증상 및 징후,337,81,329,84,102994,96036
입원,C49,기타 결합조직 및 연조직의 악성 신생물,337,81,3618,957,1887133,1715649
입원,Z93,인공개구상태,340,80,727,112,414971,387916
입원,T00,여러 신체부위를 침범한 표재성 손상,340,80,110,81,44202,41296
입원,Q24,심장의 기타 선천기형,342,79,872,104,1296789,1248084
입원,B02,대상포진,342,79,485,94,99100,88426
입원,R94,기능검사의 이상결과,344,78,288,82,95181,86940
입원,K63,장의 기타 질환,344,78,549,98,374727,355814
입원,G12,척수성 근위축 및 관련 증후군,344,78,1980,943,16275846,15445368
입원,J98,기타 호흡장애,344,78,538,93,449439,417675
입원,K08,치아 및 지지구조의 기타 장애,344,78,337,87,168464,149051
입원,R14,고창 및 연관된 병태,344,78,308,84,116625,112820
입원,A48,달리 분류되지 않은 기타 세균성 질환,350,77,538,86,96002,85473
입원,Q07,신경계통의 기타 선천기형,350,77,710,209,391307,362408
입원,M86,골수염,350,77,1379,115,465151,414304
입원,K76,간의 기타 질환,353,76,773,84,321275,285389
입원,Q64,비뇨계통의 기타 선천기형,353,76,558,97,412539,387193
입원,H61,외이의 기타 장애,353,76,329,83,75723,64834
입원,D48,기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물,356,75,429,101,263115,239897
입원,S36,복강내기관의 손상,356,75,570,96,393673,361976
입원,S64,손목 및 손 부위의 신경의 손상,356,75,363,79,126824,111476
입원,H26,기타 백내장,356,75,222,85,179929,167336
입원,R17,황달을 동반하거나 동반하지 않은 달리 분류되지 않은 과빌리루빈혈증,360,74,204,75,68477,63839
입원,Q31,후두의 선천기형,360,74,1005,125,578710,547131
입원,Q41,"소장의 선천성 결여, 폐쇄 및 협착",360,74,2110,103,1950411,1918714
입원,Q90,다운증후군,363,73,2495,1661,833212,801126
입원,K13,입술 및 구강점막의 기타 질환,364,72,140,75,59980,53360
입원,P58,기타 과다용혈로 인한 신생아황달,364,72,335,73,123929,123403
입원,B25,거대세포바이러스병,366,71,724,91,399833,374817
입원,R09,순환계통 및 호흡계통의 기타 증상 및 징후,366,71,154,74,86600,80303
입원,G25,기타 추체외로 및 운동 장애,366,71,337,104,140529,127872
입원,C83,비소포성 림프종,366,71,2926,528,1354101,1224292
입원,N44,고환의 염전,366,71,202,74,203061,190278
입원,R02,달리 분류되지 않은 괴저,371,70,134,72,60842,53414
입원,H01,눈꺼풀의 기타 염증,371,70,158,72,59486,53561
