입원외래구분,코드,3단질병명,순위,환자수,내원일수,청구건수,요양급여비용총액,보험자부담금,환자부담금,연도,연령대,이상치컬럼
입원,S66,손목 및 손 부위의 근육 및 힘줄의 손상,36,4067,23291,4273,5572481,4218994,1353487,2019,20_29,환자수
입원,O81,집게 및 진공흡착기에 의한 단일분만,37,4063,13351,4113,7255324,7154888,100436,2019,20_29,환자수
입원,R55,실신 및 허탈,38,4032,6674,4162,2717755,1923590,794165,2019,20_29,환자수
입원,R51,두통,39,3978,7808,4143,2288017,1550605,737412,2019,20_29,환자수
입원,A04,기타 세균성 장감염,40,3960,17312,4100,3861779,2925188,936591,2019,20_29,환자수
입원,J18,상세불명 병원체의 폐렴,41,3883,28142,4371,7581340,5893604,1687736,2019,20_29,환자수
입원,D24,유방의 양성 신생물,42,3794,6299,3921,1693923,1287074,406849,2019,20_29,환자수
입원,Z47,기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,43,3737,17244,3891,5333860,3999338,1334522,2019,20_29,환자수
입원,J11,바이러스가 확인되지 않은 인플루엔자,44,3714,12094,3863,2079756,1699502,380254,2019,20_29,환자수
입원,N62,유방의 비대,45,3687,5110,3728,4871197,3830621,1040576,2019,20_29,환자수
입원,M50,경추간판장애,46,3410,14717,3732,2031195,1529870,501325,2019,20_29,환자수
입원,J32,만성 부비동염,47,3391,10036,3598,6065355,4406741,1658614,2019,20_29,환자수
입원,O80,단일자연분만,1,75190,233921,76325,109805276,108022731,1782545,2019,30_39,환자수
입원,M51,기타 추간판장애,2,40005,245937,48268,37297142,27833391,9463751,2019,30_39,환자수
입원,O82,제왕절개에 의한 단일분만,3,32706,206023,32787,73376648,66427184,6949464,2019,30_39,환자수
입원,K64,치핵 및 항문주위정맥혈전증,4,31494,79656,32239,36245224,28498585,7746639,2019,30_39,환자수
입원,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,5,29876,89919,31688,19988021,15011571,4976450,2019,30_39,환자수
입원,O34,골반기관의 알려진 또는 의심되는 이상에 대한 산모관리,6,26214,174659,27373,59952106,53960531,5991575,2019,30_39,환자수
입원,O33,알려진 또는 의심되는 불균형에 대한 산모관리,7,15742,96177,15756,34940109,31643382,3296727,2019,30_39,환자수
입원,O60,조기진통 및 분만,8,14481,169320,18873,35348241,30829598,4518643,2019,30_39,환자수
입원,S33,"요추 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장",9,13993,61026,15771,6452423,4888165,1564258,2019,30_39,환자수
입원,G47,수면장애,10,13917,31452,18971,12418323,9851827,2566496,2019,30_39,환자수
입원,O83,기타 보조단일분만,11,13795,46789,13966,21837603,21490586,347017,2019,30_39,환자수
입원,K35,급성 충수염,12,12844,60897,13616,40773510,31983199,8790311,2019,30_39,환자수
입원,R10,복부 및 골반 통증,13,12367,19911,12940,5301148,3883568,1417580,2019,30_39,환자수
입원,D25,자궁의 평활근종,14,11515,52969,12122,32922402,25769222,7153180,2019,30_39,환자수
입원,K60,항문 및 직장부의 열창 및 누공,15,10772,27903,11644,12570673,9943602,2627071,2019,30_39,환자수
입원,M54,등통증,16,10051,35043,11603,4045906,3054626,991280,2019,30_39,환자수
입원,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",17,9922,93931,12378,25292263,17397209,7895054,2019,30_39,환자수
입원,J10,확인된 계절성 인플루엔자바이러스에 의한 인플루엔자,18,9792,41180,10322,7634232,6292505,1341727,2019,30_39,환자수
입원,M50,경추간판장애,19,9722,47836,11157,7066007,5276456,1789551,2019,30_39,환자수
입원,O65,산모골반이상으로 인한 난산,20,9615,65063,9624,21855748,19742533,2113215,2019,30_39,환자수
입원,O81,집게 및 진공흡착기에 의한 단일분만,21,9424,30536,9535,17311087,17073474,237613,2019,30_39,환자수
입원,K80,담석증,22,9232,50246,10822,36494780,26919751,9575029,2019,30_39,환자수
입원,N20,신장 및 요관의 결석,23,8996,20150,10420,11116163,8409731,2706432,2019,30_39,환자수
입원,K61,항문 및 직장부의 농양,24,8156,15845,8587,7986613,6444874,1541739,2019,30_39,환자수
입원,J18,상세불명 병원체의 폐렴,25,8034,55556,9025,14456168,11095695,3360473,2019,30_39,환자수
입원,N84,여성생식관의 폴립,26,7544,11060,7712,4559699,3478915,1080784,2019,30_39,환자수
입원,S62,손목 및 손부위의 골절,27,7539,43987,8471,10690205,7936309,2753896,2019,30_39,환자수
입원,J34,코 및 비동의 기타 장애,28,7415,15579,7628,6719479,5156840,1562639,2019,30_39,환자수
입원,S82,발목을 포함한 아래다리의 골절,29,7085,93751,9535,22281936,16687414,5594522,2019,30_39,환자수
입원,R42,어지럼증 및 어지럼,30,7023,11249,7287,3542461,2438978,1103483,2019,30_39,환자수
입원,D24,유방의 양성 신생물,31,6843,11207,7058,2848437,2173731,674706,2019,30_39,환자수
입원,C73,갑상선의 악성 신생물,32,6800,47959,8935,24713463,19892497,4820966,2019,30_39,환자수
입원,S93,"발목 및 발 부위의 관절 및 인대의 탈구, 염좌 및 긴장",33,6531,56382,7753,9468119,7017894,2450225,2019,30_39,환자수
입원,O42,양막의 조기파열,34,6225,37963,6959,14500619,13406906,1093713,2019,30_39,환자수
입원,S92,발목을 제외한 발의 골절,35,6110,57961,7400,10598031,7848577,2749454,2019,30_39,환자수
입원,R50,기타 및 원인미상의 열,36,5948,13631,6228,3543709,2638297,905412,2019,30_39,환자수
입원,R51,두통,37,5665,11433,5935,3627042,2426285,1200757,2019,30_39,환자수
입원,O02,기타 비정상적 수태부산물,38,5424,9357,5625,2864589,2244750,619839,2019,30_39,환자수
입원,M75,어깨병변,39,5421,31649,6317,6379850,4763126,1616724,2019,30_39,환자수
입원,O32,태아의 알려진 또는 의심되는 이상태위에 대한 산모관리,40,5419,34105,5488,13076379,11812780,1263599,2019,30_39,환자수
입원,I83,하지의 정맥류,41,5405,8380,5601,2782133,2184705,597428,2019,30_39,환자수
입원,J03,급성 편도염,42,5230,21765,5665,3540107,2692078,848029,2019,30_39,환자수
입원,M23,무릎의 내부장애,43,5203,35642,6126,8503664,6234409,2269255,2019,30_39,환자수
입원,H81,전정기능의 장애,44,5170,14289,5507,3943016,2765160,1177856,2019,30_39,환자수
입원,O20,초기임신중 출혈,45,5169,32655,6030,3940020,3296044,643976,2019,30_39,환자수
입원,B15,급성 A형간염,46,5158,44222,5721,12544299,9962122,2582177,2019,30_39,환자수
입원,K29,위염 및 십이지장염,47,5150,9563,5394,2200803,1668180,532623,2019,30_39,환자수
입원,R07,목구멍 및 가슴의 통증,48,4849,7617,5135,2790533,2133296,657237,2019,30_39,환자수
입원,D27,난소의 양성 신생물,49,4835,22796,4944,14573415,11378001,3195414,2019,30_39,환자수
입원,J20,급성 기관지염,50,4533,21197,4905,2849240,2176195,673045,2019,30_39,환자수
입원,J32,만성 부비동염,51,4474,13391,4785,8142857,5923531,2219326,2019,30_39,환자수
입원,N80,자궁내막증,52,4398,21008,4698,12281201,9408099,2873102,2019,30_39,환자수
입원,J35,편도 및 아데노이드의 만성 질환,53,4379,12448,4566,4904947,3883325,1021622,2019,30_39,환자수
입원,O68,태아스트레스[절박]가 합병된 진통 및 분만,54,4345,26481,4389,10314831,9423177,891654,2019,30_39,환자수
입원,K57,장의 게실병,55,4307,24588,4836,6512119,4825512,1686607,2019,30_39,환자수
입원,N10,급성 세뇨관-간질신장염,56,4300,27481,4770,6336401,4764557,1571844,2019,30_39,환자수
입원,S02,두개골 및 안면골의 골절,57,4176,23419,4728,7979283,5626993,2352290,2019,30_39,환자수
입원,S66,손목 및 손 부위의 근육 및 힘줄의 손상,58,4013,22856,4224,5468497,4134907,1333590,2019,30_39,환자수
입원,G44,기타 두통증후군,59,4007,10746,4203,3250989,2166597,1084392,2019,30_39,환자수
입원,N83,"난소, 난관 및 넓은인대의 비염증성 장애",60,4005,15358,4172,10148769,7932555,2216214,2019,30_39,환자수
입원,J11,바이러스가 확인되지 않은 인플루엔자,61,3963,13916,4125,2338677,1913948,424729,2019,30_39,환자수
입원,F20,조현병,62,3902,429203,25473,38770544,31655474,7115070,2019,30_39,환자수
입원,Z34,정상임신의 관리,63,3551,20110,3863,3024831,2682709,342122,2019,30_39,환자수
입원,C50,유방의 악성 신생물,64,3456,88029,14339,33850126,28054941,5795185,2019,30_39,환자수
입원,R06,호흡의 이상,65,3403,4599,3646,1770831,1389010,381821,2019,30_39,환자수
입원,S42,어깨 및 위팔의 골절,66,3378,34128,4264,9136240,6751682,2384558,2019,30_39,환자수
입원,M51,기타 추간판장애,1,54443,369422,66423,56564325,42170377,14393948,2019,40_49,환자수
입원,K64,치핵 및 항문주위정맥혈전증,2,36177,98407,36980,42817701,33513185,9304516,2019,40_49,환자수
입원,D25,자궁의 평활근종,3,30356,144874,32297,90523878,70913366,19610512,2019,40_49,환자수
입원,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,4,27029,95781,28864,21054286,15880842,5173444,2019,40_49,환자수
입원,M75,어깨병변,5,22900,150208,27327,34647337,25937385,8709952,2019,40_49,환자수
입원,M50,경추간판장애,6,20694,114850,23974,18775197,14025185,4750012,2019,40_49,환자수
입원,S33,"요추 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장",7,15447,76529,17433,8261455,6231006,2030449,2019,40_49,환자수
입원,G47,수면장애,8,14014,32635,18937,12615618,9996174,2619444,2019,40_49,환자수
입원,N20,신장 및 요관의 결석,9,13310,32757,15486,18481146,14005422,4475724,2019,40_49,환자수
입원,C50,유방의 악성 신생물,10,13266,430109,57989,119900799,100503904,19396895,2019,40_49,환자수
입원,M54,등통증,11,12986,48175,14830,5692409,4295975,1396434,2019,40_49,환자수
입원,R42,어지럼증 및 어지럼,12,12817,23035,13414,7497168,5110858,2386310,2019,40_49,환자수
입원,K80,담석증,13,12550,71167,14723,50818977,37550441,13268536,2019,40_49,환자수
입원,K35,급성 충수염,14,12026,60751,12704,39140017,30618544,8521473,2019,40_49,환자수
입원,R10,복부 및 골반 통증,15,12001,21124,12568,5905915,4319352,1586563,2019,40_49,환자수
입원,D24,유방의 양성 신생물,16,11761,20883,12230,5739632,4371938,1367694,2019,40_49,환자수
입원,H26,기타 백내장,17,11694,18640,17965,16940882,13585259,3355623,2019,40_49,환자수
입원,M23,무릎의 내부장애,18,11382,88336,13502,20080456,14709494,5370962,2019,40_49,환자수
입원,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",19,11293,113678,14100,26533236,18523636,8009600,2019,40_49,환자수
입원,H81,전정기능의 장애,20,10807,34441,11614,9409437,6536941,2872496,2019,40_49,환자수
입원,I83,하지의 정맥류,21,10376,16548,10800,5602135,4400617,1201518,2019,40_49,환자수
입원,S82,발목을 포함한 아래다리의 골절,22,9698,142010,13100,31720471,23766838,7953633,2019,40_49,환자수
입원,K60,항문 및 직장부의 열창 및 누공,23,9461,25108,10237,11128004,8794415,2333589,2019,40_49,환자수
입원,C73,갑상선의 악성 신생물,24,8923,75315,12497,33436790,26857724,6579066,2019,40_49,환자수
입원,N80,자궁내막증,25,8887,45232,9605,26540258,20502655,6037603,2019,40_49,환자수
입원,N84,여성생식관의 폴립,26,8732,14149,8950,5763033,4402862,1360171,2019,40_49,환자수
입원,R07,목구멍 및 가슴의 통증,27,8142,12959,8683,5745349,4410916,1334433,2019,40_49,환자수
입원,M48,기타 척추병증,28,8114,56342,9317,9987295,7472826,2514469,2019,40_49,환자수
입원,I20,협심증,29,8036,25184,9222,24589135,21607537,2981598,2019,40_49,환자수
입원,S92,발목을 제외한 발의 골절,30,7959,91166,9861,15816245,11697722,4118523,2019,40_49,환자수
입원,S62,손목 및 손부위의 골절,31,7857,51948,8772,11606941,8627092,2979849,2019,40_49,환자수
입원,R51,두통,32,7814,18360,8163,5891894,3920487,1971407,2019,40_49,환자수
입원,J18,상세불명 병원체의 폐렴,33,7806,66575,9106,18323740,14315990,4007750,2019,40_49,환자수
입원,N39,비뇨계통의 기타 장애,34,7729,22234,8056,10131576,7959515,2172061,2019,40_49,환자수
입원,J10,확인된 계절성 인플루엔자바이러스에 의한 인플루엔자,35,7363,33237,7831,6308686,5166084,1142602,2019,40_49,환자수
입원,K63,장의 기타 질환,36,7256,19692,7512,8289813,6433422,1856391,2019,40_49,환자수
입원,K61,항문 및 직장부의 농양,37,6942,14881,7337,7015870,5640465,1375405,2019,40_49,환자수
입원,E11,2형 당뇨병,38,6188,57258,8467,12413435,9573117,2840318,2019,40_49,환자수
입원,G44,기타 두통증후군,39,6129,17493,6425,5572350,3712235,1860115,2019,40_49,환자수
입원,S22,"늑골, 흉골 및 흉추의 골절",40,6128,71809,7489,10117594,7568824,2548770,2019,40_49,환자수
입원,M65,윤활막염 및 힘줄윤활막염,41,6058,33480,6547,6208054,4668266,1539788,2019,40_49,환자수
입원,N10,급성 세뇨관-간질신장염,42,6039,45109,6841,10748209,8107380,2640829,2019,40_49,환자수
입원,H25,노년백내장,43,5973,9673,9469,8565466,6869085,1696381,2019,40_49,환자수
입원,K29,위염 및 십이지장염,44,5562,12404,5859,2875142,2170760,704382,2019,40_49,환자수
입원,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,45,5506,94194,22818,48547981,45047543,3500438,2019,40_49,환자수
입원,J32,만성 부비동염,46,5334,16863,5703,10401653,7548001,2853652,2019,40_49,환자수
입원,S93,"발목 및 발 부위의 관절 및 인대의 탈구, 염좌 및 긴장",47,5258,49979,6274,7718765,5714517,2004248,2019,40_49,환자수
입원,J34,코 및 비동의 기타 장애,48,5160,12289,5350,5306008,4035660,1270348,2019,40_49,환자수
입원,B15,급성 A형간염,49,4997,45154,5562,12736977,10089072,2647905,2019,40_49,환자수
입원,I67,기타 뇌혈관질환,50,4994,50239,7403,29482040,25480970,4001070,2019,40_49,환자수
입원,F10,알코올사용에 의한 정신 및 행동 장애,51,4933,323790,17928,29468710,22592197,6876513,2019,40_49,환자수
입원,N60,양성 유방형성이상,52,4897,9300,5056,1899651,1449261,450390,2019,40_49,환자수
입원,F20,조현병,53,4877,668040,32807,58326909,48089700,10237209,2019,40_49,환자수
입원,S66,손목 및 손 부위의 근육 및 힘줄의 손상,54,4869,29934,5146,6848641,5161409,1687232,2019,40_49,환자수
입원,S52,아래팔의 골절,55,4849,45523,5801,12715714,9532278,3183436,2019,40_49,환자수
입원,K57,장의 게실병,56,4809,28577,5423,7746931,5746650,2000281,2019,40_49,환자수
입원,S06,두개내손상,57,4758,70070,6943,18713846,15087228,3626618,2019,40_49,환자수
입원,M17,무릎관절증,58,4683,45428,5988,8266364,6091079,2175285,2019,40_49,환자수
입원,N63,유방의 상세불명의 덩이,59,4606,7028,4764,1695109,1311148,383961,2019,40_49,환자수
입원,L03,연조직염,60,4397,38134,4930,6545020,4966189,1578831,2019,40_49,환자수
입원,I63,뇌경색증,61,4393,145024,10539,36812722,29229505,7583217,2019,40_49,환자수
입원,D12,"결장, 직장, 항문 및 항문관의 양성 신생물",62,4345,11759,4514,5046280,3880476,1165804,2019,40_49,환자수
입원,S42,어깨 및 위팔의 골절,63,4321,45588,5438,12055990,8945412,3110578,2019,40_49,환자수
입원,M77,기타 골부착부병증,64,4251,28276,4949,5394974,4025813,1369161,2019,40_49,환자수
입원,J20,급성 기관지염,65,4081,19366,4391,2816935,2141131,675804,2019,40_49,환자수
입원,B02,대상포진,66,4053,28763,4367,4836460,3648282,1188178,2019,40_49,환자수
입원,D27,난소의 양성 신생물,67,4052,19812,4202,11848923,9229025,2619898,2019,40_49,환자수
입원,Z47,기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,68,4034,20819,4204,6087059,4560549,1526510,2019,40_49,환자수
입원,K70,알코올성 간질환,69,3978,65331,6755,22201656,17756959,4444697,2019,40_49,환자수
입원,R50,기타 및 원인미상의 열,70,3900,11432,4109,3331692,2495491,836201,2019,40_49,환자수
입원,S02,두개골 및 안면골의 골절,71,3888,24852,4530,8019365,5702329,2317036,2019,40_49,환자수
입원,S86,아래다리 부위의 근육 및 힘줄의 손상,72,3795,44763,4563,7549869,5628135,1921734,2019,40_49,환자수
입원,R06,호흡의 이상,73,3762,5447,4039,2099895,1646662,453233,2019,40_49,환자수
입원,D17,양성 지방종성 신생물,74,3725,14614,3927,4346084,3243100,1102984,2019,40_49,환자수
입원,K85,급성 췌장염,75,3723,40598,5355,12802242,9793371,3008871,2019,40_49,환자수
