입원외래구분,코드,3단질병명,순위,환자수,내원일수,청구건수,요양급여비용총액,보험자부담금,환자부담금,연도,연령대
입원,K35,급성 충수염,37,3842,18479,4083,12035680,11125531,910149,2019,0_9
입원,J36,편도주위농양,38,3816,16951,4175,2156264,1906692,249572,2019,0_9
입원,J16,달리 분류되지 않은 기타 감염성 병원체에 의한 폐렴,39,3773,16751,5220,2426051,2133753,292298,2019,0_9
입원,G03,기타 및 상세불명의 원인에 의한 수막염,40,3772,16999,3954,3925153,3556196,368957,2019,0_9
입원,S52,아래팔의 골절,41,3735,14564,4419,4680818,4158183,522635,2019,0_9
입원,J04,급성 후두염 및 기관염,42,3715,14638,4054,1948918,1747593,201325,2019,0_9
입원,A04,기타 세균성 장감염,43,3398,16456,3553,2925404,2634719,290685,2019,0_9
입원,R11,구역 및 구토,44,3315,7006,3487,1302020,1192898,109122,2019,0_9
입원,S06,두개내손상,45,3266,10569,3780,4400110,4031462,368648,2019,0_9
입원,A87,바이러스수막염,46,3204,13357,3339,2993435,2716975,276460,2019,0_9
입원,S01,머리의 열린상처,47,3094,4397,3186,1306584,1169380,137204,2019,0_9
입원,G40,뇌전증,48,2922,31283,9409,10799172,9758188,1040984,2019,0_9
입원,L50,두드러기,49,2864,6014,2990,877526,791087,86439,2019,0_9
입원,P24,신생아흡인증후군,50,2842,18150,2929,8424852,8378791,46061,2019,0_9
입원,R62,기대되는 정상 생리학적 발달의 결여,51,2775,120747,54184,19284020,17830195,1453825,2019,0_9
입원,A41,기타 패혈증,52,2769,13139,2907,4564779,4290286,274493,2019,0_9
입원,S53,"팔꿈치의 관절 및 인대의 탈구, 염좌 및 긴장",53,2761,3217,2968,660503,622663,37840,2019,0_9
입원,J39,상기도의 기타 질환,54,2712,11808,2939,2249884,1932504,317380,2019,0_9
입원,Q21,심장중격의 선천기형,55,2681,33356,3846,47498597,45642857,1855740,2019,0_9
입원,K59,기타 기능성 장장애,56,2650,5213,2781,1243622,1159510,84112,2019,0_9
입원,Q10,"눈꺼풀, 눈물기관 및 안와의 선천기형",57,2579,4348,2733,3771667,3474865,296802,2019,0_9
입원,E86,용적고갈,58,2524,8787,2690,1485506,1344896,140610,2019,0_9
입원,I88,비특이성 림프절염,59,2457,11860,2643,2496234,2228326,267908,2019,0_9
입원,J13,폐렴연쇄알균에 의한 폐렴,60,2360,14595,2702,2197068,1975279,221789,2019,0_9
입원,S00,머리의 표재성 손상,61,2028,2586,2063,515483,485587,29896,2019,0_9
입원,H02,눈꺼풀의 기타 장애,62,2023,3330,2062,2754678,2533627,221051,2019,0_9
입원,S02,두개골 및 안면골의 골절,63,2015,7138,2167,1988796,1749413,239383,2019,0_9
입원,J09,확인된 동물매개 또는 범유행 인플루엔자바이러스에 의한 인플루엔자,64,1991,9021,2108,1564191,1430778,133413,2019,0_9
입원,L04,급성 림프절염,65,1983,10522,2138,2213098,1967941,245157,2019,0_9
입원,E34,기타 내분비장애,66,1945,4842,2091,1450275,1333728,116547,2019,0_9
입원,K12,구내염 및 관련 병변,67,1852,6113,1923,853941,766509,87432,2019,0_9
입원,D69,자반 및 기타 출혈성 병태,68,1759,11553,2505,3755837,3349454,406383,2019,0_9
입원,T23,손목 및 손의 화상 및 부식,69,1670,6806,1861,1688646,1493876,194770,2019,0_9
입원,R51,두통,70,1661,3778,1715,1055579,968953,86626,2019,0_9
입원,B00,헤르페스바이러스[단순헤르페스] 감염,71,1638,7486,1703,1100299,982838,117461,2019,0_9
입원,T78,달리 분류되지 않은 유해작용,72,1634,3388,1752,763673,705297,58376,2019,0_9
입원,Q38,"혀, 입 및 인두의 기타 선천기형",73,1583,2924,1645,970268,886884,83384,2019,0_9
입원,N30,방광염,74,1528,7436,1648,1321517,1188321,133196,2019,0_9
입원,Q53,미하강고환,75,1493,3286,1606,3374934,3124683,250251,2019,0_9
입원,L03,연조직염,76,1477,7013,1553,1442674,1283114,159560,2019,0_9
입원,S82,발목을 포함한 아래다리의 골절,77,1453,9456,1680,1828663,1592995,235668,2019,0_9
입원,P70,태아 및 신생아에 특이한 일과성 탄수화물대사장애,78,1420,8738,1449,3370459,3350237,20222,2019,0_9
입원,G80,뇌성마비,79,1393,100155,35224,17177286,15933834,1243452,2019,0_9
입원,J30,혈관운동성 및 알레르기성 비염,80,1361,5685,1441,745090,669140,75950,2019,0_9
입원,J40,급성인지 만성인지 명시되지 않은 기관지염,81,1307,4060,1359,685055,611208,73847,2019,0_9
입원,P36,신생아의 세균패혈증,82,1289,9950,1342,6039940,5999862,40078,2019,0_9
입원,K52,기타 비감염성 위장염 및 결장염,83,1278,3701,1369,701227,642862,58365,2019,0_9
입원,S62,손목 및 손부위의 골절,84,1271,4662,1386,1221027,1077530,143497,2019,0_9
입원,K29,위염 및 십이지장염,85,1255,2695,1295,464865,427000,37865,2019,0_9
입원,K00,치아의 발육 및 맹출 장애,86,1207,2569,1242,830120,735825,94295,2019,0_9
입원,N43,음낭수종 및 정액류,87,1179,2174,1258,1642032,1505924,136108,2019,0_9
입원,M67,윤활막 및 힘줄의 기타 장애,88,1130,5828,1198,850229,730816,119413,2019,0_9
입원,E23,뇌하수체의 기능저하 및 기타 장애,89,1127,3201,1277,1413884,1303877,110007,2019,0_9
입원,J32,만성 부비동염,90,1092,4332,1148,998246,878020,120226,2019,0_9
입원,P03,진통 및 분만의 기타 합병증에 의해 영향을 받은 태아 및 신생아,91,1072,5402,1075,1078408,1071894,6514,2019,0_9
입원,K92,소화계통의 기타 질환,92,1043,2711,1078,1237427,1159353,78074,2019,0_9
입원,P28,출생전후기에 기원한 기타 호흡기병태,93,1028,8426,1062,4722958,4692291,30667,2019,0_9
입원,S93,"발목 및 발 부위의 관절 및 인대의 탈구, 염좌 및 긴장",94,970,3454,1148,479533,424739,54794,2019,0_9
입원,P01,임신의 산모합병증에 의해 영향을 받은 태아 및 신생아,95,967,6102,989,2416979,2403029,13950,2019,0_9
입원,A02,기타 살모넬라감염,96,937,5800,974,1279415,1140298,139117,2019,0_9
입원,S61,손목 및 손의 열린상처,97,936,2148,962,531773,477049,54724,2019,0_9
입원,S92,발목을 제외한 발의 골절,98,925,4560,1012,924655,806334,118321,2019,0_9
입원,B30,바이러스결막염,99,924,3398,953,576584,505931,70653,2019,0_9
입원,T18,소화관속의 이물,100,920,1820,978,590928,544637,46291,2019,0_9
입원,D22,멜라닌세포모반,101,913,2521,1251,1447483,1306545,140938,2019,0_9
입원,H00,맥립종 및 콩다래끼,102,910,1455,954,537993,490507,47486,2019,0_9
입원,Z47,기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,103,903,2528,931,1067450,952579,114871,2019,0_9
입원,E16,췌장내분비의 기타 장애,103,903,2397,956,745271,692209,53062,2019,0_9
입원,Q18,얼굴 및 목의 기타 선천기형,105,889,3445,1078,1252510,1130041,122469,2019,0_9
입원,B01,수두,106,888,4646,921,1013386,939318,74068,2019,0_9
입원,J14,인플루엔자균에 의한 폐렴,107,886,6373,982,986044,882428,103616,2019,0_9
입원,T24,발목 및 발을 제외한 엉덩이 및 다리의 화상 및 부식,108,869,4418,970,985189,859199,125990,2019,0_9
입원,P05,태아성장지연 및 태아영양실조,109,855,9144,887,5685260,5654897,30363,2019,0_9
입원,S60,손목 및 손의 표재성 손상,110,846,979,850,163017,152273,10744,2019,0_9
입원,Q25,대동맥혈관의 선천기형,111,829,13089,1136,16537284,16181625,355659,2019,0_9
입원,R06,호흡의 이상,112,826,2024,857,733225,688909,44316,2019,0_9
입원,Q55,남성생식기관의 기타 선천기형,113,799,2090,844,1716687,1587872,128815,2019,0_9
입원,D18,모든 부위의 혈관종 및 림프관종,114,760,4281,994,1825006,1677001,148005,2019,0_9
입원,M65,윤활막염 및 힘줄윤활막염,115,727,2482,772,594983,523546,71437,2019,0_9
입원,T17,기도의 이물,116,704,1039,714,303979,281017,22962,2019,0_9
입원,R05,기침,117,691,985,705,159799,145910,13889,2019,0_9
입원,P00,현재 임신과는 관계 없을 것 같은 산모병태에 의해 영향받은 태아 및 신생아,118,682,4136,690,1729742,1722666,7076,2019,0_9
입원,G47,수면장애,119,676,1549,752,792354,747581,44773,2019,0_9
입원,T20,머리 및 목의 화상 및 부식,120,667,4441,796,1087219,943623,143596,2019,0_9
입원,N13,폐색성 및 역류성 요로병증,121,657,3917,812,2218161,1992828,225333,2019,0_9
입원,T21,몸통의 화상 및 부식,122,648,3140,705,773852,683717,90135,2019,0_9
입원,P92,신생아의 수유문제,123,645,4883,665,2606916,2591733,15183,2019,0_9
입원,L01,농가진,124,635,3624,672,616151,556673,59478,2019,0_9
입원,H71,중이의 진주종,125,624,2155,721,1671999,1549677,122322,2019,0_9
입원,E30,달리 분류되지 않은 사춘기의 장애,126,607,1262,633,413980,385737,28243,2019,0_9
입원,S50,아래팔의 표재성 손상,127,605,713,612,143060,134497,8563,2019,0_9
입원,E22,뇌하수체의 기능항진,128,593,832,621,315376,294182,21194,2019,0_9
입원,G41,뇌전증지속상태,129,592,6744,1679,3484696,3240134,244562,2019,0_9
입원,K01,매몰치 및 매복치,130,588,1056,591,417245,369689,47556,2019,0_9
입원,C91,림프성 백혈병,131,580,26474,5265,13681458,12586184,1095274,2019,0_9
입원,R22,"피부 및 피하조직의 국소적 부기, 종괴 및 덩이",132,578,1570,627,643222,587268,55954,2019,0_9
입원,T14,상세불명의 신체부위의 손상,133,574,1006,588,300578,275802,24776,2019,0_9
입원,D23,피부의 기타 양성 신생물,134,561,1183,595,493786,444776,49010,2019,0_9
입원,A38,성홍열,135,552,2211,574,426825,390631,36194,2019,0_9
입원,K11,침샘의 질환,136,551,1599,576,433451,393741,39710,2019,0_9
입원,Q62,신우의 선천성 폐색성 결손 및 요관의 선천기형,136,551,3210,657,2060709,1903848,156861,2019,0_9
입원,R31,상세불명의 혈뇨,138,546,1918,576,526849,473979,52870,2019,0_9
입원,P23,선천폐렴,139,545,5005,575,3662009,3643906,18103,2019,0_9
입원,Q69,다지증,140,529,2632,559,1029425,933955,95470,2019,0_9
입원,L00,포도알균성 화상피부증후군,141,509,3489,539,809797,736838,72959,2019,0_9
입원,B27,감염성 단핵구증,142,497,3091,556,681991,609488,72503,2019,0_9
입원,T31,포함된 신체표면의 정도에 따라 분류된 화상,143,494,6689,704,1987230,1668916,318314,2019,0_9
입원,T25,발목 및 발의 화상 및 부식,144,472,2940,546,707348,622501,84847,2019,0_9
입원,H90,전음성 및 감각신경성 청력소실,145,469,1320,544,4609375,4241553,367822,2019,0_9
입원,Z03,"의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된",146,465,1728,488,582405,566062,16343,2019,0_9
입원,R42,어지럼증 및 어지럼,147,458,948,483,289787,267371,22416,2019,0_9
입원,L51,다형홍반,148,454,2117,480,547201,494606,52595,2019,0_9
입원,P83,태아 및 신생아에 특이한 피부의 기타 병태,149,452,1491,466,1110753,1059810,50943,2019,0_9
입원,B09,피부 및 점막병변이 특징인 상세불명의 바이러스감염,150,443,1451,463,294757,263541,31216,2019,0_9
입원,J46,천식지속상태,151,438,3344,497,564077,511355,52722,2019,0_9
입원,T88,달리 분류되지 않은 외과적 및 내과적 치료의 기타 합병증,152,430,699,440,132040,121260,10780,2019,0_9
입원,S90,발목 및 발의 표재성 손상,153,429,621,433,110012,101183,8829,2019,0_9
입원,Q54,요도하열,154,422,3997,484,2120656,1893309,227347,2019,0_9
입원,P08,장기임신 및 고체중출산에 관련된 장애,155,421,2192,425,538539,535301,3238,2019,0_9
입원,K02,치아우식,156,415,1412,435,303562,277896,25666,2019,0_9
입원,T30,상세불명 신체부위의 화상 및 부식,157,409,536,416,122461,111394,11067,2019,0_9
입원,D21,결합조직 및 기타 연조직의 기타 양성 신생물,158,408,1113,429,454072,412823,41249,2019,0_9
입원,T22,손목 및 손을 제외한 어깨와 팔의 화상 및 부식,159,401,1628,443,370695,330616,40079,2019,0_9
입원,Q20,심장 방실 및 연결의 선천기형,159,401,10515,808,17192334,16577885,614449,2019,0_9
입원,S91,발목 및 발의 열린상처,161,400,1274,419,284581,250872,33709,2019,0_9
입원,T81,달리 분류되지 않은 처치의 합병증,162,399,2042,431,527899,473736,54163,2019,0_9
입원,R21,발진 및 기타 비특이성 피부발진,163,394,825,398,203742,188811,14931,2019,0_9
입원,L20,아토피성 피부염,164,393,2259,439,403487,359535,43952,2019,0_9
입원,S09,머리의 기타 및 상세불명의 손상,165,377,793,381,254715,232668,22047,2019,0_9
입원,P20,자궁내저산소증,166,371,2484,408,1490920,1484136,6784,2019,0_9
입원,M79,달리 분류되지 않은 기타 연조직장애,167,366,761,376,165330,148023,17307,2019,0_9
입원,G93,뇌의 기타 장애,168,361,13142,3298,3727791,3424457,303334,2019,0_9
입원,Q35,구개열,168,361,2392,388,1399116,1303590,95526,2019,0_9
입원,Q43,장의 기타 선천기형,170,359,7728,576,4776504,4513365,263139,2019,0_9
입원,R07,목구멍 및 가슴의 통증,171,358,512,365,133286,123084,10202,2019,0_9
입원,N48,음경의 기타 장애,172,355,747,369,179582,162197,17385,2019,0_9
입원,Q40,상부소화관의 기타 선천기형,173,352,1852,414,1324071,1247080,76991,2019,0_9
입원,K61,항문 및 직장부의 농양,174,350,663,400,347511,322593,24918,2019,0_9
입원,D70,무과립구증,175,332,2004,431,745694,684784,60910,2019,0_9
입원,R23,기타 피부변화,176,327,1338,343,632378,619238,13140,2019,0_9
입원,Q70,합지증,177,326,2344,361,1052612,955836,96776,2019,0_9
입원,R04,기도출혈,178,324,523,337,146254,137019,9235,2019,0_9
입원,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",179,321,1119,357,235048,207445,27603,2019,0_9
입원,Q36,구순열,180,319,1461,337,1036199,941682,94517,2019,0_9
입원,H93,달리 분류되지 않은 귀의 기타 장애,181,317,763,424,1553556,1420756,132800,2019,0_9
입원,K75,기타 염증성 간질환,182,314,1670,347,512933,450481,62452,2019,0_9
입원,P13,골격의 출산손상,182,314,1219,319,282510,280488,2022,2019,0_9
입원,B26,볼거리,184,310,1339,318,294531,272651,21880,2019,0_9
입원,G43,편두통,184,310,669,317,234305,216901,17404,2019,0_9
입원,S72,대퇴골의 골절,186,309,2849,432,793851,690235,103616,2019,0_9
입원,D16,골 및 관절연골의 양성 신생물,187,306,1212,331,530443,477281,53162,2019,0_9
입원,P39,출생전후기에 특이한 기타 감염,188,303,2076,309,834733,829058,5675,2019,0_9
입원,S63,"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",189,295,408,299,82118,76199,5919,2019,0_9
입원,Q42,"대장의 선천 결여, 폐쇄 및 협착",190,293,4000,413,3198730,3068914,129816,2019,0_9
입원,Q87,다발계통에 영향을 주는 기타 명시된 선천기형증후군,190,293,8933,3662,3214078,3031323,182755,2019,0_9
입원,M25,달리 분류되지 않은 기타 관절장애,192,290,803,343,355596,330311,25285,2019,0_9
입원,H05,안와의 장애,193,276,1297,294,324854,289708,35146,2019,0_9
입원,Q82,피부의 기타 선천기형,194,275,1393,347,999799,929495,70304,2019,0_9
입원,K21,위-식도역류병,194,275,1522,287,780986,710178,70808,2019,0_9
입원,R55,실신 및 허탈,194,275,499,285,192146,179264,12882,2019,0_9
입원,L02,"피부의 농양, 종기 및 큰종기",197,274,1686,293,505128,457002,48126,2019,0_9
입원,H10,결막염,198,273,697,274,95544,87152,8392,2019,0_9
입원,H35,기타 망막장애,199,272,1019,419,950999,907784,43215,2019,0_9
입원,G91,수두증,200,271,6875,1800,3738753,3535937,202816,2019,0_9
입원,H49,마비성 사시,201,270,522,317,369244,336171,33073,2019,0_9
입원,B17,기타 급성 바이러스간염,202,267,1442,292,388021,348056,39965,2019,0_9
입원,S80,아래다리의 표재성 손상,203,265,431,268,74736,68195,6541,2019,0_9
입원,L72,피부 및 피하조직의 모낭낭,204,264,668,287,258144,232887,25257,2019,0_9
입원,R45,정서상태에 관련된 증상 및 징후,205,263,359,286,63461,59654,3807,2019,0_9
입원,Q75,두개골 및 안면골의 기타 선천기형,205,263,2766,638,1924652,1753956,170696,2019,0_9
입원,J96,달리 분류되지 않은 호흡부전,207,258,2988,298,1491404,1390490,100914,2019,0_9
입원,C71,뇌의 악성 신생물,208,254,15807,2716,8234866,7360532,874334,2019,0_9
입원,S30,"복부, 아래등 및 골반의 표재성 손상",208,254,445,258,97732,89662,8070,2019,0_9
입원,P90,신생아의 경련,210,251,2377,315,1770846,1748011,22835,2019,0_9
입원,T50,"이뇨제 및 기타 상세불명의 약물, 약제 및 생물학적 물질에 의한 중독",210,251,424,258,83650,77244,6406,2019,0_9
입원,S66,손목 및 손 부위의 근육 및 힘줄의 손상,212,250,1151,263,340673,301481,39192,2019,0_9
입원,Q22,폐동맥판 및 삼첨판의 선천기형,213,247,4172,659,5606770,5385619,221151,2019,0_9
입원,R00,심장박동의 이상,214,244,819,257,400482,390412,10070,2019,0_9
입원,Q68,기타 선천성 근골격변형,215,242,1740,311,461531,410116,51415,2019,0_9
입원,Q44,"담낭, 담관 및 간의 선천기형",215,242,5845,484,3768813,3407294,361519,2019,0_9
입원,Q74,사지의 기타 선천기형,217,239,1779,334,773428,710757,62671,2019,0_9
입원,B99,기타 및 상세불명의 감염성 질환,217,239,604,245,171194,162389,8805,2019,0_9
입원,G04,"뇌염, 척수염 및 뇌척수염",219,238,5050,826,2849381,2613807,235574,2019,0_9
입원,Q67,"머리, 얼굴, 척추 및 흉부의 선천성 근골격변형",219,238,1427,263,1070605,960483,110122,2019,0_9
입원,N45,고환염 및 부고환염,221,236,985,245,193250,170859,22391,2019,0_9
입원,D17,양성 지방종성 신생물,222,234,920,242,443386,403763,39623,2019,0_9
입원,I47,발작성 빈맥,223,232,1267,414,681817,651584,30233,2019,0_9
입원,Q17,귀의 기타 선천기형,224,226,997,242,673564,607028,66536,2019,0_9
입원,I67,기타 뇌혈관질환,225,225,4303,977,2768410,2525629,242781,2019,0_9
입원,H91,기타 청력소실,226,223,997,291,3579923,3289472,290451,2019,0_9
입원,N04,신증후군,227,221,3150,374,1037905,923050,114855,2019,0_9
입원,R68,기타 전신 증상 및 징후,227,221,263,227,60617,56846,3771,2019,0_9
입원,P29,출생전후기에 기원한 심혈관장애,229,219,3032,241,4065069,4044511,20558,2019,0_9
입원,A48,달리 분류되지 않은 기타 세균성 질환,229,219,1120,233,125541,111489,14052,2019,0_9
입원,M60,근염,231,216,860,230,257091,234469,22622,2019,0_9
입원,S13,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",232,212,539,220,88591,78445,10146,2019,0_9
입원,K60,항문 및 직장부의 열창 및 누공,232,212,417,221,206317,189118,17199,2019,0_9
입원,I46,심장정지,234,209,1875,243,1848774,1737206,111568,2019,0_9
입원,E03,기타 갑상선기능저하증,235,208,628,217,409175,384116,25059,2019,0_9
입원,Q89,달리 분류되지 않은 기타 선천기형,236,203,1583,276,1108255,1053423,54832,2019,0_9
입원,S67,손목 및 손의 으깸손상,236,203,1184,218,246205,215876,30329,2019,0_9
입원,N12,급성 또는 만성으로 명시되지 않은 세뇨관-간질신장염,236,203,1231,213,203420,183075,20345,2019,0_9
입원,J44,기타 만성 폐쇄성 폐질환,239,202,2208,377,1071304,982279,89025,2019,0_9
입원,L05,모소낭,239,202,752,211,222657,209187,13470,2019,0_9
입원,P91,신생아 대뇌상태의 기타 장애,241,193,7310,1919,3934617,3844993,89624,2019,0_9
입원,P21,출산질식,241,193,2953,218,2860507,2838983,21524,2019,0_9
입원,Q66,발의 선천변형,243,191,1172,217,634800,597024,37776,2019,0_9
입원,Q85,달리 분류되지 않은 모반증,244,188,1807,479,652887,593038,59849,2019,0_9
입원,R59,림프절비대,245,185,853,198,231839,207608,24231,2019,0_9
입원,E87,"수분, 전해질 및 산-염기균형의 기타 장애",245,185,964,195,330764,303163,27601,2019,0_9
입원,Q05,이분척추,247,184,2014,449,1210147,1110514,99633,2019,0_9
입원,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,248,183,3880,971,1717559,1579531,138028,2019,0_9
입원,G51,안면신경장애,249,181,672,198,239723,220757,18966,2019,0_9
입원,Q33,폐의 선천기형,249,181,1408,204,2085619,1971975,113644,2019,0_9
입원,J69,고체 및 액체에 의한 폐렴,251,177,1684,204,868471,794364,74107,2019,0_9
입원,R19,소화계통 및 복부의 기타 증상 및 징후,252,176,516,196,228165,210831,17334,2019,0_9
입원,F84,전반발달장애,253,175,11979,8303,1095120,1008815,86305,2019,0_9
입원,S68,손목 및 손의 외상성 절단,253,175,1690,225,380478,336524,43954,2019,0_9
입원,Z13,기타 질환 및 장애에 대한 특수선별검사,253,175,506,194,350787,328477,22310,2019,0_9
입원,E10,1형 당뇨병,256,174,1459,212,389552,342154,47398,2019,0_9
입원,Q04,뇌의 기타 선천기형,257,173,4109,894,1694566,1602814,91752,2019,0_9
입원,K58,과민대장증후군,257,173,254,175,30856,28022,2834,2019,0_9
입원,P78,기타 출생전후기 소화계통장애,257,173,1372,183,755574,747479,8095,2019,0_9
입원,B05,홍역,260,172,438,178,150807,141202,9605,2019,0_9
입원,G44,기타 두통증후군,260,172,379,174,101364,92219,9145,2019,0_9
입원,K37,상세불명의 충수염,262,171,613,190,334849,308722,26127,2019,0_9
입원,P54,기타 신생아출혈,263,170,1215,173,714345,711060,3285,2019,0_9
입원,G02,달리 분류된 기타 감염성 및 기생충 질환에서의 수막염,264,168,660,171,125446,111602,13844,2019,0_9
입원,P12,두피의 출산손상,264,168,769,171,336958,332807,4151,2019,0_9
입원,P81,신생아 체온조절의 기타 장애,266,165,863,168,383684,378174,5510,2019,0_9
입원,Q79,달리 분류되지 않은 근골격계통의 선천기형,267,164,3925,489,3631240,3533728,97512,2019,0_9
입원,H60,외이염,267,164,527,172,113478,102560,10918,2019,0_9
입원,M24,기타 특정 관절장애,267,164,589,181,171067,154651,16416,2019,0_9
입원,H04,눈물계통의 장애,270,161,373,173,161035,145792,15243,2019,0_9
입원,H92,귀통증 및 귀의 삼출액,270,161,216,163,31491,29462,2029,2019,0_9
입원,S81,아래다리의 열린상처,270,161,620,173,128094,113671,14423,2019,0_9
입원,P25,출생전후기에 기원한 간질성 폐기종 및 관련 병태,273,160,1520,166,1072244,1066210,6034,2019,0_9
입원,K42,배꼽탈장,274,159,415,171,405173,376508,28665,2019,0_9
입원,A05,달리 분류되지 않은 기타 세균성 음식매개중독,274,159,905,162,166559,144992,21567,2019,0_9
입원,M62,근육의 기타 장애,276,157,704,173,201402,180964,20438,2019,0_9
입원,G71,근육의 원발성 장애,277,155,5092,2057,1447818,1349673,98145,2019,0_9
입원,S05,눈 및 안와의 손상,278,153,389,166,116043,105853,10190,2019,0_9
입원,Q27,말초혈관계통의 기타 선천기형,279,149,778,167,459314,426924,32390,2019,0_9
입원,Q65,고관절의 선천변형,280,148,1499,267,741698,669078,72620,2019,0_9
입원,M91,고관절 및 골반의 연소성 골연골증,281,147,1423,209,379808,334924,44884,2019,0_9
입원,H61,외이의 기타 장애,282,145,707,161,121876,104154,17722,2019,0_9
입원,I49,기타 심장부정맥,282,145,496,149,247601,240460,7141,2019,0_9
입원,Q16,청력장애를 유발하는 귀의 선천기형,282,145,550,172,367642,338049,29593,2019,0_9
입원,Q37,구순열을 동반한 구개열,285,143,1003,170,650253,604647,45606,2019,0_9
입원,L30,기타 피부염,285,143,649,152,106427,92083,14344,2019,0_9
입원,J22,상세불명의 급성 하기도감염,285,143,712,166,103080,93337,9743,2019,0_9
입원,P27,출생전후기에 기원한 만성 호흡기질환,288,141,5607,254,4766628,4660331,106297,2019,0_9
입원,P38,경도의 출혈을 동반하거나 동반하지 않은 신생아배꼽염,289,139,850,144,307821,305245,2576,2019,0_9
입원,S31,"복부, 아래등 및 골반의 열린상처",289,139,305,143,86813,78317,8496,2019,0_9
입원,R26,보행과 이동의 이상,291,137,775,195,1501246,1412235,89011,2019,0_9
입원,C74,부신의 악성 신생물,292,136,8747,1839,5038890,4545996,492894,2019,0_9
